ref_date,pp_index_2_0,pp_index_2_1,pp_index_2_2
2019-02-12,85.07064363385426,,
2019-03-12,86.6712697351537,,91.15137975108938
2019-04-12,88.59125277899264,93.69362251917077,92.83308254223317
2019-05-12,90.47788858531595,95.18504593324016,94.43511202970393
2019-06-12,93.03807623029866,97.17918365949647,96.59233506240365
2019-07-12,94.31556159931833,98.18867061237258,97.60417261543401
2019-08-12,95.60188355731218,98.98332279155589,98.47180613031367
2019-09-12,96.22505057304971,99.10756136498065,98.68418655629529
2019-10-12,97.59231541815397,100.14403627153206,99.7215782954055
2019-11-12,98.40045255071432,100.63179694416648,100.24255496713337
2019-12-12,98.49021265794313,100.40223957036945,100.03305607016688
2020-01-12,99.083147617105,100.36016715003906,100.24227509924089
2020-02-12,101.68611599880484,101.99028703005688,101.9834351871364
2020-03-12,100.0,100.0,100.0
2020-04-12,78.30080204126408,78.98958919310468,78.2521039143511
2020-05-12,88.00133766778205,87.99943402993814,87.802769669453
2020-06-12,93.99804842511158,93.27758933086807,93.47067999903493
2020-07-12,95.43121957155213,94.31977173876219,94.61227567556297
2020-08-12,97.3349310401239,95.66809465597258,95.96355352411882
2020-09-12,98.88648489459477,96.91559045287438,97.13728977722617
2020-10-12,100.99947902923286,98.78592057364017,98.94740664878651
2020-11-12,102.00370703454924,99.01260871718218,99.54936845715487
2020-12-12,101.37958069034438,97.74626346245921,98.71007086132876
2021-01-12,99.65203885566211,95.7336987926187,96.65598284069759
2021-02-12,102.14264536136135,97.61650226727099,98.60450651203534
2021-03-12,104.89944386156478,99.92038373290335,100.98526193954709
2021-04-12,107.0662164761397,101.47344059645998,102.66085900856498
2021-05-12,109.81632202675537,103.62160978317962,104.86897645792845
2021-06-12,112.84319247091778,106.08698299627859,107.37950652182204
2021-07-12,114.29123623660253,107.1902497931497,108.43139624044538
2021-08-12,114.70933563188892,107.21057429553704,108.48515438038721
2021-09-12,115.4139175875575,107.34891877267552,108.81148199688158
2021-10-12,116.51715696989939,108.19279582932712,109.54730209845842
2021-11-12,117.15958238019377,108.49171593206697,109.78670605266332
2021-12-12,116.93284027955728,108.19051691053603,109.38649445716516
2022-01-12,113.56449390402213,105.17312955111335,105.87244140449319
2022-02-12,116.16210745549044,107.34012697623574,107.82626048067958
2022-03-12,117.90411643055118,108.87437548673009,109.19524163382637
2022-04-12,119.03594346050173,109.50022187929314,109.89617512706842
2022-05-12,120.48382490293928,110.5943102316226,110.87828527683337
2022-06-12,122.29503998555649,111.79399260638228,112.19167729974511
2022-07-12,122.09770670955268,111.49622057774853,111.74682103587014
2022-08-12,121.65014756001149,110.81798282163489,111.04993002510808
2022-09-12,121.16551015266141,110.02978553047433,110.29756473238162
2022-10-12,120.47269295747272,109.16935325769792,109.43711022628437
2022-11-12,119.76605288716802,108.27731755144173,108.59341614680913
2022-12-12,118.36856783954066,106.9334141533952,107.16630816774078
2023-01-12,114.32001923265251,103.05853996596159,103.2556901049507
2023-02-12,115.15966207884465,103.3262284471472,103.62188263930948
2023-03-12,115.72050810242533,103.60375585879522,103.91497245729857
2023-04-12,115.60244446277947,103.06803603084074,103.45075363352873
2023-05-12,116.52560159247297,103.60425844405859,103.98017388635266
2023-06-12,117.70694821803578,104.16753435899264,104.74687696137445
2023-07-12,116.87860042856175,103.48320618153137,103.74919418937824
2023-08-12,116.28244664725942,102.83896511317698,102.98552647473483
2023-09-12,115.61078215515515,102.1823821646682,102.1697564468213
2023-10-12,114.97071893774284,101.34071899986057,101.34141679530855
2023-11-12,114.01268035215699,100.26642718458478,100.27685492047644
2023-12-12,112.78373023404068,99.02677409207026,99.02809592193087
2024-01-12,109.33449498207352,95.70320256682618,95.6740954106335
2024-02-12,110.3988259004979,96.1175842144318,96.15473443083043
2024-03-12,111.37742294452997,96.6255621729832,96.760051519032
2024-04-12,111.5725720058117,96.57523082523333,96.67746072928406
2024-05-12,112.51445966847164,97.03335678727912,97.13982239682913
2024-06-12,113.70345394261845,97.66567380233258,97.75391117240336
2024-07-12,113.20830905224068,96.97719415105787,97.06579142403909
2024-08-12,112.75475819239709,96.29578169526279,96.37075018923187
2024-09-12,112.45968936064601,95.84029182252249,95.8843839758423
2024-10-12,112.00665879017535,95.15878056955036,95.25153285337456
2024-11-12,111.36370185703512,94.38290098388123,94.4964514430716
2024-12-12,110.23242034236877,93.28697198777236,93.40881208658833
2025-01-12,107.45953208372305,90.4574723660693,90.64055309241535
2025-02-12,108.37824051083113,90.70501874725643,90.91341853228982
2025-03-12,109.25677612665467,91.16550760989277,91.43058938615582
2025-04-12,109.71278346358292,91.19310234777126,91.55666041522032
2025-05-12,110.97346923984206,91.87940596101772,92.27599209272952
2025-06-12,111.71749984128797,92.1480998068594,92.61877890787378
2025-07-12,111.45273986023105,91.77319907430888,92.1478531800819
2025-08-12,111.29171196586076,91.39059696541709,91.75274681861731
2025-09-12,110.90528542078009,90.80595404361401,91.17697629353957
2025-10-12,111.33015071755743,91.05618383148533,91.3153942400267
2025-11-12,111.56691713517884,90.95551182752443,91.19260399988985
2025-12-12,109.99777765451083,89.47848302528773,89.77327556568967
