panel,tenure,supersector,ref_date,emp_active_prior,emp_active_current,emp_qualified_prior,emp_qualified_current,emp_active_diff,emp_qualified_diff,emp_active_growth,emp_qualified_growth,emp_active_index,emp_qualified_index
0,1,00,2019-02-12,377546.0,382048.0,280596.0,287627.0,4502.0,7031.0,0.011924374778172726,0.025057377867111433,100.0,100.0
0,1,00,2019-03-12,392132.0,401318.0,295558.0,301119.0,9186.0,5561.0,0.02342578519478135,0.018815257918919467,102.34257851947814,101.88152579189193
0,1,00,2019-04-12,411207.0,421148.0,308092.0,314917.0,9941.0,6825.0,0.024175172115260685,0.02215247393635667,104.81672796990613,104.13845363659308
0,1,00,2019-05-12,435253.0,447166.0,325226.0,332152.0,11913.0,6926.0,0.027370288085320493,0.021295960347573688,107.6855920106031,106.35618201589561
0,1,00,2019-06-12,458398.0,467739.0,339868.0,349485.0,9341.0,9617.0,0.020377488557978003,0.028296279732131297,109.87995392965824,109.36566629345887
0,1,00,2019-07-12,477646.0,488274.0,356207.0,361098.0,10628.0,4891.0,0.022250788240663587,0.013730780136269079,112.32486951644094,110.86734221179093
0,1,00,2019-08-12,503013.0,511013.0,371742.0,376812.0,8000.0,5070.0,0.015904161522664426,0.013638491211646788,114.11130238424263,112.37940548420508
0,1,00,2019-09-12,521504.0,520072.0,384146.0,386650.0,-1432.0,2504.0,-0.0027459041541387985,0.00651835500044254,113.79796368499156,113.11193434388981
0,1,00,2019-10-12,530482.0,536776.0,393834.0,399430.0,6294.0,5596.0,0.011864681553756772,0.01420903223185403,115.14814028557996,114.71914546478952
0,1,00,2019-11-12,551398.0,552028.0,410108.0,413504.0,630.0,3396.0,0.0011425503900993476,0.008280745559706223,115.27970283818246,115.66910551921039
0,1,00,2019-12-12,561954.0,569142.0,420964.0,421348.0,7188.0,384.0,0.012791082544122829,0.0009121920164194563,116.75425503284762,115.77461795381139
0,1,00,2020-01-12,578818.0,580343.0,426727.0,429296.0,1525.0,2569.0,0.0026346796402323355,0.006020242450091042,117.06186509149315,116.47160922346
0,1,00,2020-02-12,631625.0,639973.0,467063.0,479333.0,8348.0,12270.0,0.01321670294874332,0.02627054594348086,118.60903698903329,119.53138198467606
0,1,00,2020-03-12,655076.0,662902.0,490062.0,481936.0,7826.0,-8126.0,0.011946705420439767,-0.016581575392501356,120.02602421414332,117.54936336252726
0,1,00,2020-04-12,677462.0,635933.0,492244.0,385431.0,-41529.0,-106813.0,-0.061300855250921826,-0.2169919795873591,112.6683262774485,92.04209430725868
0,1,00,2020-05-12,646866.0,658569.0,393799.0,442586.0,11703.0,48787.0,0.018091845915537377,0.12388807488084022,114.70670427602158,103.44501217898569
