ref_date,pp_index_1
2016-01-12,89.82039899522654
2016-02-12,91.58876478402985
2016-03-12,92.46581326801967
2016-04-12,93.484249413252
2016-05-12,94.82864531230037
2016-06-12,96.03332963145019
2016-07-12,95.81980047914563
2016-08-12,96.11216312648857
2016-09-12,95.24900075132923
2016-10-12,95.9431959874706
2016-11-12,95.96301545103853
2016-12-12,95.36183731882855
2017-01-12,93.87327409856056
2017-02-12,95.13442998934558
2017-03-12,95.89272648255445
2017-04-12,96.90399134035525
2017-05-12,98.4313935060754
2017-06-12,99.62887192090645
2017-07-12,99.38108304905661
2017-08-12,99.478492943558
2017-09-12,98.24154528350181
2017-10-12,98.99221181834233
2017-11-12,98.92415994090055
2017-12-12,98.54458715477602
2018-01-12,96.84573491965952
2018-02-12,97.96472673254848
2018-03-12,98.8203274697809
2018-04-12,99.8195158558319
2018-05-12,101.23035078690424
2018-06-12,102.5654117503856
2018-07-12,102.27471668644606
2018-08-12,102.17843634091079
2018-09-12,101.19949965818387
2018-10-12,101.48364246129795
2018-11-12,100.56361073717994
2018-12-12,100.1418442880121
2019-01-12,97.56786544282886
2019-02-12,98.60866951530092
2019-03-12,99.4005734112164
2019-04-12,100.60936263844353
2019-05-12,101.62961273364218
2019-06-12,103.03121177962056
2019-07-12,102.71057786761743
2019-08-12,102.47771334357579
2019-09-12,101.58113115572685
2019-10-12,101.91914701978426
2019-11-12,101.74322655787375
2019-12-12,101.47200367199585
2020-01-12,99.36046221557191
2020-02-12,100.64241869381266
2020-03-12,99.99999999999999
2020-04-12,80.96746920340463
2020-05-12,87.51511107165784
2020-06-12,93.13275521747984
2020-07-12,94.03814838534275
2020-08-12,95.14230508534072
2020-09-12,95.44172922335582
2020-10-12,96.59367998048256
2020-11-12,96.80211484628897
2020-12-12,95.82582377033555
2021-01-12,93.88661531204667
2021-02-12,95.40789059793016
2021-03-12,96.8630210133114
2021-04-12,98.14131873320473
2021-05-12,99.87464364534006
2021-06-12,101.73300828939027
2021-07-12,102.26644847970525
2021-08-12,102.43216883254806
2021-09-12,101.56724941949507
2021-10-12,102.70282193561894
2021-11-12,103.01299992935667
2021-12-12,102.6217931798732
2022-01-12,100.47398290286857
2022-02-12,102.21318304813758
2022-03-12,103.17602963076004
2022-04-12,104.00238824465701
2022-05-12,105.50811731306493
2022-06-12,106.91618514196944
2022-07-12,106.72757958127157
2022-08-12,106.77826963701236
2022-09-12,105.61934825479386
2022-10-12,106.10367497677413
2022-11-12,105.84822265372307
2022-12-12,105.30642088604823
2023-01-12,103.53110275767375
2023-02-12,104.51519898080521
2023-03-12,105.33765898034804
2023-04-12,106.15043099178737
2023-05-12,107.63524849455513
2023-06-12,108.9064934190441
2023-07-12,108.47895011547146
2023-08-12,108.53406392884197
2023-09-12,107.42223461201701
2023-10-12,107.91797889880996
2023-11-12,107.53955701800102
2023-12-12,107.20884958352744
2024-01-12,105.11313821066051
2024-02-12,106.02458092866074
2024-03-12,106.93105444068014
2024-04-12,107.81065037128354
2024-05-12,109.0859318984404
2024-06-12,110.30782133043373
2024-07-12,109.76842081781261
2024-08-12,109.56387211623688
2024-09-12,108.69631603938832
2024-10-12,108.89385764797932
2024-11-12,108.49220663349517
2024-12-12,108.24300608405024
2025-01-12,105.53711820374987
2025-02-12,106.36683751068543
2025-03-12,107.4200617597151
2025-04-12,108.30043280869532
2025-05-12,109.61992858175805
2025-06-12,110.63100911972109
