ref_date,qcew_nsa_level,qcew_nsa_diff,qcew_nsa_growth,qcew_nsa_index
2016-01-12,117419929.0,-2867853.0,-0.023841598475895082,94.0860465733263
2016-02-12,117806441.0,386512.0,0.0032917069810185287,94.39575026964815
2016-03-12,118408763.0,602322.0,0.005112810427742232,94.87837784596135
2016-04-12,119903907.0,1495144.0,0.012626970860256348,96.07640435829072
2016-05-12,120610509.0,706602.0,0.0058930690223463695,96.64258924059298
2016-06-12,121322430.0,711921.0,0.005902644851619025,97.2130361224211
2016-07-12,121717166.0,394736.0,0.0032536110593894304,97.52932953186583
2016-08-12,121835998.0,118832.0,0.000976296145442624,97.62454704035541
2016-09-12,121458886.0,-377112.0,-0.003095242836193618,97.32237536049209
2016-10-12,121642875.0,183989.0,0.001514825354153174,97.46980176221459
2016-11-12,122000203.0,357328.0,0.0029375168911454945,97.75612095126768
2016-12-12,121928351.0,-71852.0,-0.0005889498396982176,97.69854749950392
2017-01-12,119218038.0,-2710313.0,-0.022228734972393745,95.52683237994962
2017-02-12,119726160.0,508122.0,0.004262123488393593,95.93397953600802
2017-03-12,120426677.0,700517.0,0.005850993634139773,96.4952886395709
2017-04-12,121447709.0,1021032.0,0.008478453656908594,97.31341947241154
2017-05-12,122522257.0,1074548.0,0.008847824375180268,98.17443151725168
2017-06-12,123605875.0,1083618.0,0.008844254313728485,99.04271115669599
2017-07-12,123488461.0,-117414.0,-0.0009499063050198868,98.94862986090196
2017-08-12,123681078.0,192617.0,0.0015597975587370871,99.10296969219937
2017-09-12,122944369.0,-736709.0,-0.005956521497977241,98.5126607227144
2017-10-12,123530462.0,586093.0,0.004767139843549891,98.98228435273975
2017-11-12,124014456.0,483994.0,0.003918013356090258,99.37009826485013
2017-12-12,124033232.0,18776.0,0.00015140170433034032,99.3851430670869
2018-01-12,121298729.0,-2734503.0,-0.022046535076986465,97.19404502432705
2018-02-12,121973528.0,674799.0,0.005563116823755012,97.7347468513707
2018-03-12,122605965.0,632437.0,0.005185034903639091,98.24150492509338
2018-04-12,123504932.0,898967.0,0.007332163651254652,98.9618277165497
2018-05-12,124614084.0,1109152.0,0.008980629210823743,99.85056719729745
2018-06-12,125708224.0,1094140.0,0.008780227442028141,100.72727788750524
2018-07-12,125671666.0,-36558.0,-0.0002908162953602781,100.69798475370825
2018-08-12,125950187.0,278521.0,0.0022162593117847264,100.92115760009663
2018-09-12,125164777.0,-785410.0,-0.006235877998339137,100.29182557385126
2018-10-12,125777693.0,612916.0,0.004896872863840919,100.78294189296895
2018-11-12,126251960.0,474267.0,0.0037706765698111507,101.16296177060138
2018-12-12,126100309.0,-151651.0,-0.0012011773916222766,101.041447108053
2019-01-12,123609935.0,-2490374.0,-0.01974915065434138,99.04596434678339
2019-02-12,123972752.0,362817.0,0.0029351766910968766,99.33668175268126
2019-03-12,124493056.0,520304.0,0.004196922239816052,99.75359008155864
2019-04-12,125483528.0,990472.0,0.007956042142623602,100.54723384812552
2019-05-12,126463261.0,979733.0,0.0078076622136413,101.33227268652769
2019-06-12,127365147.0,901886.0,0.007131604806553265,102.05493440947791
2019-07-12,127412146.0,46999.0,0.0003690098987598232,102.09259369049231
2019-08-12,127665253.0,253107.0,0.0019865217559399714,102.2954028489788
2019-09-12,126793735.0,-871518.0,-0.006826587340879668,101.59707434685978
2019-10-12,127321434.0,527699.0,0.004161869669664672,102.01990812911066
2019-11-12,127943339.0,621905.0,0.004884527140968268,102.5182271392864
2019-12-12,127781331.0,-162008.0,-0.0012662480224937696,102.3884136369017
2020-01-12,125237028.0,-2544303.0,-0.019911382829468256,100.3497187356754
2020-02-12,125603173.0,366145.0,0.0029236161688538315,100.64310279591095
