ref_date,ces_nsa_level,ces_nsa_diff,ces_nsa_growth,ces_nsa_index,ces_sa_level,ces_sa_diff,ces_sa_growth,ces_sa_index
2016-01-12,119093000.0,-2492000.0,-0.020495949335855575,93.90341021092063,121096000.0,116000.0,0.0009588361712679782,94.55601711590721
2016-02-12,119487000.0,394000.0,0.0033083388612261005,94.21407451212306,121269000.0,173000.0,0.001428618616634736,94.69110160227382
2016-03-12,120245000.0,758000.0,0.00634378635332714,94.8117484723044,121484000.0,215000.0,0.0017729180582011892,94.85898116625545
2016-04-12,121313000.0,1068000.0,0.008881866189862364,95.65385373546232,121671000.0,187000.0,0.0015392973560304237,95.0049973451604
2016-05-12,122001000.0,688000.0,0.005671280077155787,96.19633353045542,121701000.0,30000.0,0.0002465665606430456,95.0284224005997
2016-06-12,123099000.0,1098000.0,0.008999926230112868,97.06209343583686,121966000.0,265000.0,0.002177467728284895,95.23534372364682
2016-07-12,123232000.0,133000.0,0.0010804311976539208,97.16696234969456,122231000.0,265000.0,0.002172736664316285,95.44226504669393
2016-08-12,123281000.0,49000.0,0.0003976239937678525,97.20559826532632,122378000.0,147000.0,0.0012026409012443652,95.55704781834649
2016-09-12,122910000.0,-371000.0,-0.0030093850633917635,96.91306918982859,122644000.0,266000.0,0.002173593292912125,95.76474997657493
2016-10-12,123373000.0,463000.0,0.0037669839720120414,97.27813916814516,122771000.0,127000.0,0.0010355174325690616,95.8639160446013
2016-11-12,123685000.0,312000.0,0.002528916375544082,97.52414744726994,122906000.0,135000.0,0.0010996082136660937,95.96932879407814
2016-12-12,123613000.0,-72000.0,-0.0005821239438897199,97.46737630593346,123104000.0,198000.0,0.0016109872585553188,96.1239341599775
2017-01-12,121203000.0,-2410000.0,-0.019496331292016212,95.56712004730936,123312000.0,208000.0,0.0016896282817780088,96.28634787768996
2017-02-12,121780000.0,577000.0,0.004760608235769742,96.0220776660754,123522000.0,210000.0,0.0017029972752043597,96.45032326576505
2017-03-12,122368000.0,588000.0,0.004828379044178026,96.48570865365672,123640000.0,118000.0,0.000955295412962873,96.54246181715959
2017-04-12,123364000.0,996000.0,0.008139382845188285,97.27104277547815,123839000.0,199000.0,0.0016095114849563248,96.69784801824028
2017-05-12,124259000.0,895000.0,0.007254952822541422,97.97673960181363,124033000.0,194000.0,0.0015665501174912588,96.84933004341443
2017-06-12,125304000.0,1045000.0,0.0084098536122132,98.80070963926681,124223000.0,190000.0,0.001531850394653036,96.99768872786332
2017-07-12,125387000.0,83000.0,0.0006623890697822894,98.86615414941859,124398000.0,175000.0,0.0014087568324706375,97.13433488459256
2017-08-12,125470000.0,83000.0,0.0006619506009394913,98.9315986595704,124609000.0,211000.0,0.0016961687486937089,97.29909110784894
2017-09-12,124851000.0,-619000.0,-0.004933450227145931,98.44352454169142,124674000.0,65000.0,0.0005216316638445056,97.3498453946341
2017-10-12,125443000.0,592000.0,0.0047416520492426974,98.9103094815692,124789000.0,115000.0,0.0009224056338931934,97.43964144048476
2017-11-12,125886000.0,443000.0,0.0035314844192182904,99.25960969840342,124994000.0,205000.0,0.0016427730008253933,97.59971265265331
2017-12-12,125768000.0,-118000.0,-0.0009373560205265081,99.16656810565749,125139000.0,145000.0,0.0011600556826727683,97.71293375394325
2018-01-12,123188000.0,-2580000.0,-0.020513962216144013,97.13226887443336,125286000.0,147000.0,0.0011746937405604967,97.8277165255958
2018-02-12,123951000.0,763000.0,0.006193785108939183,97.7338852749853,125635000.0,349000.0,0.0027856264865986622,98.10022800387297
2018-03-12,124586000.0,635000.0,0.005122992150123839,98.23457520205015,125853000.0,218000.0,0.001735185258884865,98.27045007339854
2018-04-12,125525000.0,939000.0,0.007536962419533495,98.97496550364683,125978000.0,125000.0,0.0009932222513567416,98.36805447106228
2018-05-12,126511000.0,986000.0,0.007855008962358096,99.75241474472706,126291000.0,313000.0,0.0024845607963295178,98.6124558828123
2018-06-12,127565000.0,1054000.0,0.008331291350159274,100.5834811748473,126477000.0,186000.0,0.001472789034848089,98.75769122653593
2018-07-12,127589000.0,24000.0,0.00018813937992396033,100.60240488862611,126584000.0,107000.0,0.0008460036212117618,98.84124059093608
2018-08-12,127725000.0,136000.0,0.0010659226108833833,100.70963926670613,126811000.0,227000.0,0.0017932756114516842,99.01849017709343
2018-09-12,127076000.0,-649000.0,-0.005081229203366608,100.19791050660362,126884000.0,73000.0,0.00057565984023468,99.07549114532905
